PWM (µs),RPM,Current (A),Voltage (V),Power (W),Force (Kg f),Force (N),Efficiency (g/W)
1532,347,0.05,18,0.9,0.05,0.44,50.4
1536,424,0.05,18,0.9,0.07,0.67,75.6
1540,494,0.05,18,0.9,0.09,0.89,100.8
1544,562,0.1,18,1.8,0.12,1.20,68.0
1548,624,0.1,18,1.8,0.15,1.47,83.2
1552,686,0.1,18,1.8,0.18,1.78,100.8
1556,745,0.2,18,3.6,0.21,2.09,59.2
1560,805,0.2,18,3.6,0.25,2.45,69.3
1564,856,0.2,18,3.6,0.29,2.80,79.4
1568,906,0.3,18,5.4,0.32,3.11,58.8
1572,959,0.3,18,5.4,0.36,3.51,66.4
1576,1009,0.4,18,7.2,0.39,3.83,54.2
1580,1052,0.4,18,7.2,0.43,4.18,59.2
1584,1099,0.5,18,9.0,0.47,4.63,52.4
1588,1140,0.5,18,9.0,0.51,4.98,56.4
1592,1184,0.6,18,10.8,0.55,5.38,50.8
1596,1227,0.7,18,12.6,0.59,5.74,46.4
1600,1267,0.8,18,14.4,0.63,6.14,43.5
1604,1301,0.88,18,15.8,0.67,6.54,42.1
1608,1341,1,18,18.0,0.70,6.85,38.8
1612,1377,1,18,18.0,0.76,7.43,42.1
1616,1419,1.2,18,21.6,0.80,7.87,37.2
1620,1456,1.3,18,23.4,0.84,8.23,35.9
1624,1493,1.38,18,24.8,0.88,8.63,35.4
1628,1527,1.5,18,27.0,0.92,8.99,33.9
1632,1564,1.6,18,28.8,0.97,9.47,33.5
1636,1599,1.7,18,30.6,1.02,9.96,33.2
1640,1637,1.83,18,32.9,1.08,10.54,32.6
1644,1679,2,18,36.0,1.13,11.12,31.5
1648,1716,2.1,18,37.8,1.18,11.57,31.2
1652,1747,2.3,18,41.4,1.22,12.01,29.6
1656,1783,2.47,18,44.5,1.28,12.54,28.8
1660,1817,2.7,18,48.6,1.32,12.94,27.2
1664,1851,2.9,18,52.2,1.38,13.57,26.5
1668,1887,3.07,18,55.3,1.42,13.97,25.8
1672,1920,3.24,18,58.3,1.49,14.59,25.5
1676,1952,3.4,18,61.2,1.54,15.08,25.1
1680,1989,3.6,18,64.8,1.60,15.66,24.6
1684,2021,3.8,18,68.4,1.68,16.46,24.5
1688,2066,4.07,18,73.3,1.74,17.08,23.8
1692,2098,4.29,18,77.2,1.79,17.53,23.1
1696,2143,4.52,18,81.4,1.84,18.06,22.6
1700,2171,4.72,18,85.0,1.92,18.82,22.6
1704,2198,4.98,18,89.6,1.97,19.35,22.0
1708,2230,5.2,18,93.6,2.04,19.97,21.8
1712,2265,5.47,18,98.5,2.08,20.42,21.1
